English_Name,Chinese_Name,Gender,Alignment,Power_Type,Detailed_Power,MCU_Presence,Movie_Count,Primary_Team,Mentor_CN,Risk_Level,Social_Style,hero,degree_score,betweenness_score,faction_id,Cross_Index,Loyalty_Score
JUBILEE/JUBILATION L,欢欢/朱比莉,女,正派,变异,能够从双手发射出炫目的等离子能量球，产生爆炸和强光，并可通过情绪控制其强度。,否,0,X战警,金刚狼,3,活泼叛逆,JUBILEE/JUBILATION L,0.0698363211223694,0.0064790000425647,12,0.8366,0.2478
MEDUSA/MEDUSALITH AM,美杜莎/美杜莎莉丝·阿姆,女,正派,变异,拥有超强力量、速度、耐力，并能通过意念控制头发，使其成为可自由伸缩、强度极高的武器。,否,0,异人族,黑蝠王,4,团队核心,MEDUSA/MEDUSALITH AM,0.0699922057677318,0.0027531843618813,5,0.7755,0.3207
BEETLE/ABNER RONALD,甲虫/阿布纳·罗纳德,男,反派,科技,身穿高科技装甲，具备飞行、能量武器、增强力量与防御能力，装甲可变形适应不同战斗环境。,否,0,邪恶大师,无,5,雇佣兵/机会主义者,BEETLE/ABNER RONALD,0.0695245518316445,0.0023149865407547,8,0.8123,0.1794
KARNAK [INHUMAN],卡尔纳克,男,正派,变异,异人族，拥有超凡的洞察力，能发现任何物体或系统的弱点，并精准攻击使其失效。,是,1,异人族,黑蝠王,3,冷静理性,KARNAK [INHUMAN],0.0693686671862821,0.0023770255510481,5,0.7783,0.3236
BLACK BOLT/BLACKANTO,黑蝠王/布莱克·博尔特,男,正派,变异,拥有通过声带释放毁灭性能量的能力，即使轻声细语也能造成巨大破坏，需长期保持沉默。,是,1,异人族皇室,阿贡,8,孤傲,BLACK BOLT/BLACKANTO,0.0692127825409197,0.0024483457380096,5,0.7752,0.3221
WONG,王,男,正派,魔法,精通秘术魔法，能开启传送门、制造能量武器、操控元素，是卡玛泰姬的资深法师和图书管理员。,是,约5部,至尊法师/卡玛泰姬,古一,3,沉稳可靠,WONG,0.0692127825409197,0.0066237537905843,0,0.8445,0.2725
KINGPIN/WILSON FISK,金并/威尔逊·菲斯克,男,反派,格斗,无超能力，但拥有远超常人的体格、力量、格斗技巧和极高的智力，是纽约地下犯罪帝国的首领。,是,0,无固定阵营，常作为蜘蛛侠、夜魔侠等街头英雄的主要对手。,无,9,控制欲强/幕后操纵者/双重身份,KINGPIN/WILSON FISK,0.0689010132501948,0.0064069605601641,1,0.8666,0.1538
GORGON [INHUMAN],戈耳工,男,正派,变异,拥有超强力量和耐力，双脚能引发地震波，是异人族皇室护卫队成员。,否,0,异人族皇室护卫队,黑蝠王,5,忠诚护卫,GORGON [INHUMAN],0.0684333593141075,0.0020612353931181,5,0.7693,0.328
"MASTERS, ALICIA REIS",艾丽西亚·雷斯·马斯特斯,女,反派,科技,通过高科技装备增强体能和战斗技巧，擅长使用先进武器和战术分析，无超自然能力。,否,0,无固定核心阵营,无,3,孤傲,"MASTERS, ALICIA REIS",0.0681215900233827,0.0019833688162397,5,0.7772,0.1716
BOOMER/TABITHA SMITH,布姆/塔比莎·史密斯,女,反派,变异,能够从身体释放能量爆炸，通常表现为投掷能量球或制造冲击波，威力可调节。,否,0,地狱火俱乐部,塞巴斯蒂安·肖,4,叛逆,BOOMER/TABITHA SMITH,0.0678098207326578,0.0050181347062666,12,0.8397,0.0897
SCREAMING MIMI/MELIS,尖叫女妖/梅莉斯,女,反派,变异,拥有超强声波攻击能力，可发出破坏性音波，并具备一定格斗技巧和敏捷性。,否,0,邪恶大师,泽莫男爵,5,孤傲,SCREAMING MIMI/MELIS,0.0673421667965705,0.0018568851270852,8,0.8131,0.1898
MOONSTONE II/KARLA S,月光石二代/卡拉·索芬,女,反派,宇宙能量,通过月光石获得飞行、能量投射、密度操控、隐形和超强力量，能吸收并释放能量。,否,0,雷霆特工队,诺曼·奥斯本,7,野心勃勃/双重间谍,MOONSTONE II/KARLA S,0.0668745128604832,0.0017108982429934,8,0.8212,0.1748
LOKI [ASGARDIAN],洛基,男,反派,魔法/神力,精通阿斯加德魔法，擅长幻术、变形、心灵控制，拥有超强体能和寿命，能使用宇宙魔方等神器。,是,6,无固定阵营（曾短暂领导齐塔瑞军队）,奥丁,9,诡计多端/双重间谍,LOKI [ASGARDIAN],0.0662509742790335,0.0021596864157652,6,0.7837,0.1788
SHAMAN/MICHAEL TWOYO,萨满/迈克尔·图约,男,正派,魔法,能够操控自然元素、进行灵魂旅行、施展治疗法术，并拥有强大的精神感知能力。,否,0,阿尔法飞行队,无明确核心导师,4,沉稳内敛,SHAMAN/MICHAEL TWOYO,0.0662509742790335,0.0018081791469379,7,0.7297,0.3741
ODIN [ASGARDIAN],奥丁,男,正派,神力,拥有奥丁之力，可操控宇宙能量、施展强大魔法、预知未来，是阿斯加德的神王。,是,3,阿斯加德,无,8,威严领袖,ODIN [ASGARDIAN],0.0659392049883086,0.0027501182025934,6,0.7995,0.2671
BLOB/FRED J. DUKES,肉球/弗雷德·J·杜克斯,男,反派,变异,拥有超强密度和重量，身体几乎无法移动，能吸收冲击并反弹攻击，皮肤极其坚韧。,否,0,变种人兄弟会,万磁王,4,孤傲,BLOB/FRED J. DUKES,0.0659392049883086,0.0017868039230974,12,0.7949,0.156
POWER MAN/ERIK JOSTE,神力侠/埃里克·乔斯特,男,反派,变异,拥有超人的力量、耐力和抗击打能力，能举起重物并承受强大冲击。,否,0,无固定核心阵营,无,4,孤傲,POWER MAN/ERIK JOSTE,0.0656274356975838,0.0016168780942497,8,0.8221,0.1971
TRITON,特里同,非人类,正派,变异,亚特兰蒂斯人，拥有水下呼吸、超强力量、速度、耐力，以及水下高速移动能力。,否,0,异人族,黑蝠王,3,忠诚护卫,TRITON,0.0654715510522213,0.0023074041155237,5,0.7599,0.3262
NORTHSTAR/JEAN-PAUL,北极星/让-保罗·博利尔,男,正派,变异,变种人，能超音速飞行，发射强光，拥有超人类体能和反应速度。,否,0,X战警,X教授,3,孤傲,NORTHSTAR/JEAN-PAUL,0.0653156664068589,0.0022523322520022,7,0.7222,0.3604
"LEEDS, BETTY BRANT",贝蒂·布兰特·利兹,女,正派,格斗,无超能力，作为记者和蜘蛛侠的盟友，具备调查能力和基础格斗技巧。,否,0,无固定核心阵营,无,1,调查型盟友,"LEEDS, BETTY BRANT",0.0645362431800467,0.0025258084541202,1,0.861,0.1715
SPIDER-WOMAN II/JULI,蜘蛛女侠II/朱莉,女,正派,变异,拥有蜘蛛感应、超强力量与敏捷、手腕发射生物电蛛丝、爬墙能力，并具备飞行能力。,否,0,复仇者联盟,杰西卡·德鲁,4,团队核心,SPIDER-WOMAN II/JULI,0.063912704598597,0.0022817108453119,7,0.7825,0.2634
ANT-MAN II/SCOTT HAR,蚁人II/斯科特·朗,男,正派,科技,通过皮姆粒子战衣缩小或放大身体，控制蚂蚁，在亚原子尺度穿梭，拥有超强力量和敏捷性。,是,5,复仇者联盟,汉克·皮姆,3,团队核心,ANT-MAN II/SCOTT HAR,0.063912704598597,0.0015228803712377,0,0.7517,0.3244
"URICH, BEN",本·尤里克,男,正派,格斗,无超能力，是经验丰富的调查记者，擅长挖掘真相和揭露腐败，具备出色的调查技巧和坚韧的品格。,否,0,无,无,1,正直坚韧,"URICH, BEN",0.0634450506625097,0.0026671751584254,1,0.8664,0.1671
AURORA/JEANNE-MARIE,极光/珍妮-玛丽,女,正派,变异,拥有光速飞行、发射强光、制造光能爆炸和光能护盾的能力，并能通过光能影响他人情绪。,否,0,阿尔法战队,詹姆斯·麦克唐纳·赫德森,4,双重人格,AURORA/JEANNE-MARIE,0.0631332813717848,0.002402026130963,7,0.7083,0.3778
"GYRICH, HENRY PETER",亨利·彼得·吉里奇,男,反派,科技,使用先进科技武器和装备，包括能量武器、飞行装置和防护服，无超能力但技术高超。,否,0,九头蛇,红骷髅,6,忠诚执行者,"GYRICH, HENRY PETER",0.0625097427903351,0.0031564313450443,8,0.7895,0.1721
MIRAGE II/DANIELLE M,幻影二代/丹妮尔·M,女,正派,变异,能够投射逼真的三维全息影像，用于迷惑敌人、制造幻象和战术欺骗，影像具有触感和声音。,否,0,新变种人,幻影（米拉吉·圣约翰）,3,团队合作者,MIRAGE II/DANIELLE M,0.0620420888542478,0.0050522369123383,12,0.8011,0.2839
PHOENIX III/RACHEL S,凤凰三/瑞秋·萨默斯,女,正派,宇宙能量,拥有凤凰之力碎片，可操控宇宙能量、心灵感应、预知未来、能量投射及飞行。,否,0,X战警,琴·葛蕾,8,孤傲,PHOENIX III/RACHEL S,0.0618862042088854,0.003313589460502,12,0.7936,0.272
GALACTUS/GALAN,行星吞噬者/加兰,非人类,中立,宇宙能量,拥有宇宙级力量，能吞噬行星能量维持生命，操控物质与能量，创造生命与宇宙实体。,否,0,无固定阵营,无,10,孤傲,GALACTUS/GALAN,0.0617303195635229,0.0035083663039629,7,0.7316,0.0455
MEPHISTO,墨菲斯托,非人类,反派,魔法,地狱维度领主，拥有强大的魔法、变形、操控灵魂、现实扭曲等能力，几乎不朽。,否,0,地狱领主,无,9,狡诈操纵者,MEPHISTO,0.0615744349181605,0.004413923746796,6,0.7845,0.1316
MYSTIQUE/RAVEN DARKH,魔形女/瑞雯·达克霍姆,女,反派,变异,拥有变形能力，可以完美模仿任何人的外貌、声音和体型，具备超强自愈能力和格斗技巧。,否,约10部,X战警/变种人兄弟会,万磁王,7,双重间谍/孤傲,MYSTIQUE/RAVEN DARKH,0.0615744349181605,0.0018948687552242,12,0.7963,0.1114
LOCKJAW [INHUMAN],锁齿狗,非人类,正派,变异,拥有心灵传送能力，能传送自身及他人，体型巨大但性格温顺，是异人族皇室宠物。,是,1,异人族皇室,黑蝠王,2,忠诚伙伴,LOCKJAW [INHUMAN],0.0615744349181605,0.0018693971319865,5,0.7528,0.3468
"HUDSON, HEATHER",希瑟·哈德森,女,正派,科技,作为神盾局特工，拥有高级格斗技能、武器使用和战术分析能力，无超自然力量。,否,0,神盾局,尼克·弗瑞,3,忠诚可靠,"HUDSON, HEATHER",0.0612626656274357,0.0029923334660213,7,0.7712,0.2595
WHITE QUEEN/EMMA FRO,白皇后/艾玛·弗罗斯特,女,正派/反派,变异,拥有强大的心灵感应能力，能读取思想、控制他人心智、制造心灵幻象，并能将身体转化为钻石形态，增强防御力。,否,0,X战警,查尔斯·泽维尔,7,孤傲/双重间谍,WHITE QUEEN/EMMA FRO,0.0612626656274357,0.0045316605035289,12,0.8172,0.0
HOGUN [ASGARDIAN],霍根（仙宫战士）,男,正派,神力,拥有阿斯加德人的超人体质，包括超强力量、耐力、寿命和战斗技巧，精通多种武器，尤其是战锤。,是,3,仙宫三勇士,奥丁,4,忠诚战士,HOGUN [ASGARDIAN],0.0612626656274357,0.0018491917171296,6,0.787,0.2875
FANDRAL [ASGARDIAN],范达尔（阿斯加德人）,男,正派,神力,作为阿斯加德人，拥有超人的力量、速度、耐力和寿命，精通剑术和格斗技巧。,是,2,仙宫三勇士,奥丁,3,风流倜傥,FANDRAL [ASGARDIAN],0.0612626656274357,0.0018697029951107,6,0.787,0.2875
"NORRISS, SISTER BARB",芭芭修女,女,正派,魔法,作为魔法师，她掌握多种魔法，包括能量投射、传送和防御法术，是魔法领域的专家。,否,0,魔法师团体,古一,3,团队核心,"NORRISS, SISTER BARB",0.0606391270459859,0.0019821225558639,0,0.7294,0.3599
NIGHT THRASHER/DUANE,夜行侠/杜安,男,正派,格斗,无超能力，依靠高科技装备（如动力装甲、滑板）和精湛的武术进行战斗。,否,0,新勇士,无明确核心导师,4,团队核心,NIGHT THRASHER/DUANE,0.0598597038191738,0.0035715123136436,3,0.8195,0.2552
SIF,希芙,女,正派,神力,拥有阿斯加德神族的超强力量、耐力、战斗技巧和长寿，是阿斯加德最杰出的女战士之一。,是,2,阿斯加德,奥丁,3,忠诚战士,SIF,0.059236165237724,0.0015732187341772,6,0.7814,0.2684
SUNFIRE/SHIRO YOSHID,太阳火/志志雄真实,男,正派,变异,能产生并操控等离子体火焰，飞行，吸收太阳能增强能力，免疫高温。,否,0,X战警,X教授,6,孤傲,SUNFIRE/SHIRO YOSHID,0.0590802805923616,0.0033292425698086,7,0.7283,0.3905
SANDMAN/WILLIAM BAKE,沙人/威廉·贝克,男,反派,变异,身体可转化为沙状物质，随意变形、重组、硬化，控制沙子攻击或防御。,否,0,邪恶六人组,无,7,孤傲,SANDMAN/WILLIAM BAKE,0.0587685113016367,0.0015586563461375,1,0.7824,0.1459
DAZZLER II/ALLISON B,炫光女侠II/艾莉森·B,女,正派,变异,能将声波转化为强光、激光等光能形式，用于攻击、防御、照明或制造幻象。,否,0,X战警,X教授,3,团队核心,DAZZLER II/ALLISON B,0.0586126266562743,0.0034711675960443,12,0.721,0.367
THANOS,灭霸,非人类,反派,神力/宇宙能量,拥有宇宙级力量、耐力、再生能力，能操控宇宙立方、无限宝石等神器，精通战略与科技。,是,5,黑暗教团,死亡女神,10,孤傲/独裁者,THANOS,0.0576773187840997,0.002192061034457,7,0.7206,0.1
PHARAOH RAMA-TUT,法老拉玛图特,男,反派,科技,来自31世纪的征服者康的变体，利用未来科技统治古埃及，拥有先进武器和时间旅行能力。,否,0,无固定阵营,无,8,孤傲,PHARAOH RAMA-TUT,0.0575214341387373,0.0012269801831978,0,0.7211,0.1816
PUCK/EUGENE MILTON J,帕克/尤金·米尔顿·J,男,正派,变异,因实验获得超强耐力、敏捷和力量，体型矮小但格斗技巧高超，能承受巨大冲击。,否,0,阿尔法战队,无明确核心导师,3,团队合作者,PUCK/EUGENE MILTON J,0.0575214341387373,0.0038516044071621,7,0.7525,0.2927
SIRYN/THERESA ROURKE,女妖/特蕾莎·鲁尔克,女,正派,变异,拥有强大的声波操控能力，能发出超声波攻击、制造声波护盾、进行声波飞行和催眠等。,否,0,X战警,X教授,4,团队核心,SIRYN/THERESA ROURKE,0.05705378020265,0.0024300475457753,12,0.8223,0.2322
HELLCAT/PATSY WALKER,地狱猫/帕齐·沃克,女,正派,魔法,通过魔法获得超人类力量、速度、敏捷度、感知力和心灵感应能力，能进行灵魂出窍和附身。,否,0,捍卫者联盟,女巫阿加莎·哈克尼斯,3,双重身份,HELLCAT/PATSY WALKER,0.0568978955572876,0.0014374702595773,0,0.6992,0.3562
BISHOP /,毕肖普 / 卢卡斯·毕肖普,男,正派,变异,能够吸收并重新定向各种形式的能量，包括动能、热能、电能等，将其转化为自身力量或释放攻击。,否,0,X战警,X教授,5,团队核心,BISHOP /,0.055962587685113,0.0057484803847412,12,0.7821,0.3008
SPIDER-MAN CLONE/BEN,蜘蛛侠克隆体/本·莱利,男,正派,变异,拥有与蜘蛛侠彼得·帕克相似的超能力，包括蜘蛛感应、超强力量与敏捷、爬墙能力，并能发射有机蛛丝。,否,0,新勇士,彼得·帕克,3,双重身份,SPIDER-MAN CLONE/BEN,0.0553390491036632,0.0079561020591195,1,0.8623,0.1887
"HARKNESS, AGATHA",阿加莎·哈克尼斯,女,反派,魔法,精通混沌魔法和古老巫术，能操控能量、变形、精神控制及吸收他人魔法力量。,是,1,无固定阵营,无明确导师,8,伪装欺骗,"HARKNESS, AGATHA",0.0553390491036632,0.0007561051834699,7,0.7135,0.1296
BALDER [ASGARDIAN],巴尔德尔,男,正派,神力,拥有超凡的阿斯加德神族力量、耐力、速度与再生能力，是光明与纯净之神，对多数攻击免疫。,否,0,阿斯加德,奥丁,2,光明磊落,BALDER [ASGARDIAN],0.054871395167576,0.0016361005330346,6,0.7633,0.2898
DARKHAWK/CHRIS POWEL,暗鹰/克里斯·鲍威尔,男,正派,科技,通过暗鹰护甲获得飞行、超级力量、能量冲击、隐形和快速自愈能力，并能切换至能量形态。,否,0,新勇士,无明确核心导师,4,孤傲,DARKHAWK/CHRIS POWEL,0.0547155105222135,0.0049364006115723,7,0.7414,0.3191
VOLSTAGG,沃斯塔格,男,正派,神力,作为阿斯加德人，拥有远超常人的力量、耐力、寿命和战斗技巧，是仙宫三勇士之一。,是,3,仙宫三勇士/阿斯加德,奥丁,3,忠诚伙伴,VOLSTAGG,0.0545596258768511,0.0015750390332395,6,0.8028,0.24
LIVING LIGHTNING/MIG,活体闪电/米格尔·桑托斯,男,正派,变异,能够将身体转化为电流形态，进行高速移动、飞行、释放电击，并免疫物理攻击。,否,0,复仇者联盟,托尼·斯塔克（钢铁侠）,3,团队核心,LIVING LIGHTNING/MIG,0.0544037412314887,0.0012858138068465,7,0.7191,0.2894
"THOMPSON, EUGENE FLA",尤金·“闪电”·汤普森,男,正派,变异,被共生体附身后获得超强力量、速度、敏捷性及自愈能力，并可生成共生体武器。,是,2,复仇者联盟,彼得·帕克（蜘蛛侠）,4,团队核心,"THOMPSON, EUGENE FLA",0.0544037412314887,0.0021362742105623,1,0.838,0.1633
"BANNER, BETTY ROSS T",贝蒂·罗斯·塔尔博特,女,正派,科技,作为科学家，她本身没有超能力，但曾短暂通过伽马辐射实验获得类似女浩克的变身能力。,是,2,美国军方/神盾局相关,布鲁斯·班纳,3,理性支持者,"BANNER, BETTY ROSS T",0.0536243180046765,0.0029642716192218,0,0.7742,0.3198
HUMAN TORCH ANDROID/,霹雳火机器人,非人类,反派,科技,拥有与霹雳火相似的火焰能力，包括飞行、火焰投射和高温免疫，但由人工智能控制，缺乏自主意识。,否,0,无固定阵营,无,4,无社交,HUMAN TORCH ANDROID/,0.0534684333593141,0.0016659894666703,5,0.7901,0.1399
CITIZEN V II/HELMUT,公民V二世/赫尔穆特,男,反派,科技,使用高科技武器和装甲，包括能量武器、飞行能力和增强体能，无超能力。,否,0,雷霆特工队,泽莫男爵,6,双重间谍,CITIZEN V II/HELMUT,0.0525331254871395,0.0015396582131563,8,0.793,0.184
LILANDRA NERAMANI [S,莉兰德拉·尼拉玛尼,女,正派,宇宙能量,拥有强大的心灵感应和预知能力，能操控精神能量，作为希阿帝国女皇具备星际领导力。,否,0,X战警/希阿帝国,X教授,7,星际领袖/外交家,LILANDRA NERAMANI [S,0.0522213561964146,0.0012220487005251,12,0.7152,0.3552
DOMINO III/BEATRICE/,多米诺三世/碧翠丝,女,正派,变异,拥有概率操控能力，能下意识地影响事件发生的概率，使幸运偏向自己或队友，同时具备出色的战斗技巧。,否,0,X特攻队,死侍,4,冷静务实,DOMINO III/BEATRICE/,0.0519095869056897,0.0027312769823238,12,0.8371,0.1952
HIGH EVOLUTIONARY/HE,至高进化/赫伯特·温德姆,男,反派,科技,通过基因工程改造自身和生物，拥有超级智力、再生能力和能量投射能力。,是,1,独立/自创阵营,无明确核心导师,9,孤傲/控制狂,HIGH EVOLUTIONARY/HE,0.0520654715510522,0.0015661352732071,6,0.7565,0.1257
"CARTER, PEGGY",佩吉·卡特,女,正派,格斗,无超能力，但拥有卓越的格斗技巧、战略头脑和领导能力，是神盾局创始人之一。,是,4,神盾局,无,2,团队核心,"CARTER, PEGGY",0.0515978176149649,0.0008288983625128,8,0.7805,0.2749
"KNIGHT, MISTY",米斯蒂·奈特,女,正派,格斗,前纽约警察局警官，无超能力，但精通格斗技巧、枪械使用和侦探技能，拥有机械仿生手臂增强力量。,否,0,捍卫者联盟/夜魔侠盟友,无特定核心导师,3,坚韧独立,"KNIGHT, MISTY",0.0519095869056897,0.0015192312496734,2,0.818,0.2733
JACK OF HEARTS/JACK,红心杰克,男,正派,宇宙能量,能够吸收并释放宇宙能量，飞行，能量爆炸，增强力量，但能量过载时可能失控。,否,0,复仇者联盟,钢铁侠,6,孤傲,JACK OF HEARTS/JACK,0.0517537022603273,0.0010971981024666,0,0.6654,0.4367
KA-ZAR/KEVIN PLUNDER,凯-扎尔/凯文·普兰德,男,正派,格斗,无超能力，但拥有卓越的生存技能、丛林战斗技巧和与野兽沟通的能力，常与剑齿虎扎布为伴。,否,0,野蛮之地守护者,无明确导师,3,孤傲,KA-ZAR/KEVIN PLUNDER,0.0514419329696025,0.0011880659223223,0,0.7051,0.4091
"ROSS, GEN. THADDEUS",撒迪厄斯·“雷霆”·罗斯将军,男,中立/反派,科技/变异,通过科技手段（如反浩克装甲）或血清变异（如红巨人）获得超级力量、耐力与再生能力。,是,4,美国军方/雷霆特工队,无明确核心导师,7,强硬/固执/军方权威,"ROSS, GEN. THADDEUS",0.05128604832424,0.0028905724343427,0,0.7666,0.0
DARKSTAR/LAYNIA SERG,暗星/莱妮亚·瑟格,女,反派,宇宙能量,能够操控暗能量，制造黑暗领域、能量爆炸和传送，并能吸收光线和能量攻击。,否,0,苏联超级士兵团队（如Winter Guard等）,红卫兵,6,孤傲,DARKSTAR/LAYNIA SERG,0.05128604832424,0.0010859501643615,0,0.6397,0.1733
LOCKHEED,洛克希德,非人类,正派,变异,小型紫色外星龙，能飞行、喷火、隐形，智力高，会说英语，是X战警成员凯蒂·普莱德的宠物和伙伴。,否,0,X战警,凯蒂·普莱德（幻影猫）,3,忠诚伙伴,LOCKHEED,0.0505066250974279,0.000812731389481,12,0.7369,0.3086
STRONG GUY/GUIDO CAR,壮汉/圭多·卡,男,正派,变异,拥有超强力量和耐力，能将受到的动能冲击转化为肌肉质量，体型随战斗增强。,否,0,X因子,X教授,4,团队核心,STRONG GUY/GUIDO CAR,0.050194855806703,0.0010944896201458,7,0.6812,0.3168
"OSBORN, LIZ ALLAN",莉兹·艾伦·奥斯本,女,中立,格斗,无超能力，但具备出色的商业头脑、领导能力和格斗技巧，作为企业家和母亲活跃。,否,0,奥斯本家族/无核心团队,诺曼·奥斯本,3,坚韧独立,"OSBORN, LIZ ALLAN",0.0500389711613406,0.0015073333818643,1,0.8185,0.028
ENCHANTRESS/AMORA/HE,魅惑女巫/阿莫拉,女,反派,魔法,强大的魔法师，擅长魅惑、幻术、能量投射和飞行，寿命极长，精通多种黑魔法。,否,0,无固定核心阵营（常作为独立反派或与洛基等合作）,无明确核心导师,7,孤傲/操纵者,ENCHANTRESS/AMORA/HE,0.0497272018706157,0.0014344614987201,6,0.725,0.2069
ETERNITY/ADAM QADMON,永恒/亚当·卡德蒙,非人类,中立,宇宙能量,作为宇宙实体，代表整个漫威宇宙的时间与空间，拥有近乎无限的宇宙级力量，能操控现实、时间、空间和生命。,是,1,宇宙实体,无,10,孤傲,ETERNITY/ADAM QADMON,0.0492595479345284,0.0004894680595734,7,0.651,0.0506
MEGGAN,梅根,女,正派,魔法,拥有强大的魔法能力，能与自然元素沟通，可变形、飞行、能量投射，并能感知和影响他人情绪。,否,0,英国队长军团,梅林,4,温和共情,MEGGAN,0.0492595479345284,0.0010128302185665,12,0.7725,0.3038
RHINO,犀牛人,男,反派,科技,身穿重型犀牛装甲，拥有超人的力量、耐力、速度和防御力，能发起强力冲锋攻击。,否,0,邪恶六人组,章鱼博士,6,暴躁易怒,RHINO,0.0484801247077162,0.0016043779875716,1,0.7642,0.1801
MULTIPLE MAN/JAMES A,分身人/詹姆斯·亚瑟·马多克斯,男,正派,变异,能够通过意念制造出多个物理实体分身，每个分身拥有独立意识但共享记忆与经验，分身消失后经验回归本体。,否,0,X因子,X教授,3,团队合作者,MULTIPLE MAN/JAMES A,0.0481683554169914,0.0015529773748333,12,0.6799,0.3366
DOC SAMSON/DR. LEONA,萨姆森博士/莱昂娜博士,女,正派,变异,通过伽马辐射获得超强力量、耐力、再生能力和绿色长发，能控制伽马能量。,否,0,复仇者联盟,布鲁斯·班纳（浩克）,4,理性冷静,DOC SAMSON/DR. LEONA,0.0473889321901792,0.0018134225109771,0,0.677,0.3914
GUARDIAN/JAMES MACDO,守护者/詹姆斯·麦克唐纳,男,正派,科技,穿着高科技动力装甲，具备飞行、能量护盾、超级力量、能量冲击波等能力，装甲提供生命维持和战术分析功能。,否,0,阿尔法飞行队,无明确核心导师,3,团队核心,GUARDIAN/JAMES MACDO,0.0473889321901792,0.0012876338017839,7,0.6772,0.4243
NOVA II/FRANKIE RAYE,新星二代/弗兰基·雷,女,正派,宇宙能量,通过新星头盔获得宇宙能量，可飞行、发射能量冲击、增强力量与耐力，并能在太空生存。,否,0,新星军团,理查德·赖德（新星一代）,5,团队合作者,NOVA II/FRANKIE RAYE,0.0469212782540919,0.0017026469163327,7,0.6528,0.3754
"JAMESON, COL. JOHN",约翰·詹姆森上校,男,正派,变异,通过实验获得超强力量、耐力、飞行能力，但受月光影响会变成狼人形态。,否,0,美国陆军/神盾局,无明确核心导师,4,军人作风/责任感强,"JAMESON, COL. JOHN",0.0469212782540919,0.0017915620008926,1,0.8091,0.2259
CYPHER/DOUG RAMSEY,密码/道格·拉姆齐,男,正派,变异,天生能理解所有语言（包括人类语言、计算机代码、外星语言等），并能快速分析复杂信息。,否,0,X战警,X教授,2,内向学者,CYPHER/DOUG RAMSEY,0.0470771628994544,0.0011356800220703,12,0.7121,0.3543
BLACK CAT/FELICIA HA,黑猫/费莉西亚·哈代,女,中立,变异,通过实验获得增强的敏捷性、平衡感、反应速度和运气，擅长格斗与盗窃技巧。,否,0,无固定核心阵营，常与蜘蛛侠或反英雄合作,无明确核心导师,4,亦正亦邪/独立行动者,BLACK CAT/FELICIA HA,0.0469212782540919,0.0017193807814391,1,0.7333,0.0365
MAKKARI/MIKE KHARY/I,马卡里/迈克·卡里/我,女,正派,神力,永恒族成员，拥有超光速移动能力，能通过振动分子穿越物体，感知时间流异常。,是,1,永恒族,阿贾克,4,孤傲,MAKKARI/MIKE KHARY/I,0.0466095089633671,0.0018185986002173,0,0.7638,0.2977
PALADIN/PAUL DENNIS,圣骑士/保罗·丹尼斯,男,中立,科技,穿戴高科技动力装甲，具备超级力量、飞行能力和能量武器，精通战术与格斗技巧。,否,0,雇佣兵/独立行动者,无固定导师,4,孤傲/雇佣兵风格,PALADIN/PAUL DENNIS,0.0467653936087295,0.0011229269317765,8,0.687,0.0267
DRAX/ARTHUR DOUGLAS,德拉克斯/亚瑟·道格拉斯,男,正派,变异,超强力量、耐力、飞行能力，对灭霸有强烈复仇执念，身体经过改造增强。,是,5,银河护卫队,星爵,4,直率鲁莽,DRAX/ARTHUR DOUGLAS,0.0466095089633671,0.0006410753256797,7,0.6297,0.3612
"TILBY, TRISH/PATRICI",帕特里夏·“翠西”·蒂尔比,女,正派,科技,作为神盾局特工，她精通情报分析、战术规划和格斗技巧，主要依靠高科技装备和特工训练执行任务。,否,0,神盾局,菲尔·科尔森,3,团队协作,"TILBY, TRISH/PATRICI",0.0466095089633671,0.0015143734034241,12,0.7383,0.3512
WARLOCK II/ADAM WARL,术士亚当/亚当·沃洛克,非人类,正派,宇宙能量,拥有宇宙能量操控能力，可飞行、能量投射、物质重组、超强再生，并能感知宇宙平衡。,是,1,银河护卫队,至高进化,8,孤傲,WARLOCK II/ADAM WARL,0.0464536243180046,0.0008740414360266,7,0.6347,0.3658
PYRO/ALLERDYCE JOHNN,火人/约翰·阿勒代斯,男,反派,变异,能够通过意念控制火焰，但不能自行产生火焰，需借助外部火源。,否,0,变种人兄弟会,万磁王,6,叛逆激进,PYRO/ALLERDYCE JOHNN,0.0464536243180046,0.000790717133401,12,0.7306,0.1443
MOLE MAN/HARVEY RUPE,鼹鼠人/哈维·鲁普,男,反派,变异,拥有超强力量、耐久力，能控制地下的巨型生物和怪物，擅长地下作战。,否,0,无固定阵营,无,4,孤僻,MOLE MAN/HARVEY RUPE,0.0459859703819173,0.0019023741893018,7,0.681,0.2068
FIXER II/PAUL NORBER,修复者二世/保罗·诺伯,男,反派,科技,精通电子工程和机械技术，擅长制造和操控高科技武器、设备及机器人，无超自然能力。,否,0,雷霆特工队,泽莫男爵,6,孤傲,FIXER II/PAUL NORBER,0.0461418550272798,0.0012037217119498,8,0.7723,0.1892
